,Susceptible,Exposed,Infectious,Quarantined,Recovered,Deaths,Vaccinated,Population
139.0,315179761.0,6500864,3856863.0,34148.0,2434658.0,193706,0.0,328200000
140.0,315110613.0,6535012,3874096.0,34747.0,2451406.0,194126,0.0,328200000
141.0,315036614.0,6569759,3885008.0,39487.0,2474570.0,194562,0.0,328200000
142.0,314958910.0,6609246,3902598.0,38351.0,2495127.0,195768,0.0,328200000
143.0,314876424.0,6647597,3908267.0,45423.0,2525573.0,196716,0.0,328200000
144.0,314782266.0,6693020,3937370.0,49431.0,2540334.0,197579,0.0,328200000
145.0,314690844.0,6742451,3968898.0,42851.0,2556465.0,198491,0.0,328200000
146.0,314607200.0,6785302,3991391.0,39453.0,2577446.0,199208,0.0,328200000
147.0,314518391.0,6824755,4014634.0,52083.0,2590671.0,199466,0.0,328200000
148.0,314426013.0,6876838,4041070.0,40235.0,2615949.0,199895,0.0,328200000
149.0,314348769.0,6917073,4048473.0,37799.0,2646959.0,200927,0.0,328200000
150.0,314263956.0,6954872,4061408.0,47531.0,2670256.0,201977,0.0,328200000
151.0,314166773.0,7002403,4064677.0,53085.0,2710183.0,202879,0.0,328200000
152.0,314066474.0,7055488,4101627.0,45269.0,2727335.0,203807,0.0,328200000
153.0,313982665.0,7100757,4123140.0,38401.0,2750459.0,204578,0.0,328200000
154.0,313912308.0,7139158,4143972.0,33401.0,2766280.0,204881,0.0,328200000
155.0,313835027.0,7172559,4148365.0,44213.0,2794608.0,205228,0.0,328200000
156.0,313752161.0,7216772,4170939.0,40722.0,2813305.0,206101,0.0,328200000
157.0,313663632.0,7257494,4185422.0,45712.0,2840688.0,207052,0.0,328200000
158.0,313563744.0,7303206,4209351.0,55123.0,2860650.0,207926,0.0,328200000
159.0,313460331.0,7358329,4250231.0,48974.0,2873369.0,208766,0.0,328200000
160.0,313374402.0,7407303,4275635.0,35882.0,2897322.0,209456,0.0,328200000
161.0,313299033.0,7443185,4296425.0,39824.0,2911699.0,209834,0.0,328200000
162.0,313214080.0,7483009,4312079.0,45382.0,2935142.0,210308,0.0,328200000
