,County,S,E,Ia,Is,R,P
13,Mercer,8637.477152456422,6269.77775981187,4657.516341538604,7386.782993673641,13072.099811356382,5470.625690262995
13,Suffolk,21943.435696629527,12360.979791405747,7894.988621500844,12808.86650879668,21596.85978626881,9180.004086187968
13,,47774.657063644736,32973.201909058625,23875.88007725543,38005.23417818474,66741.75808193749,27999.377368118894
14,Mercer,8393.521344610399,5943.982333807799,4481.60724827376,7230.616620144404,13949.890488793642,5485.716347921189
14,Suffolk,21305.95272232405,11867.849181024323,7644.309911076317,12633.993290700106,23111.202795511395,9253.686407450356
14,,46416.60988191156,31331.367273697644,22996.930700307006,37247.81042465772,71254.27813836951,28099.850180618327
15,Mercer,8155.720852938837,5641.33172504688,4310.095889826034,7066.134487361937,14802.923295369073,5474.86725758276
15,Suffolk,20686.32698596199,11401.61104232002,7399.036023707028,12441.775389109955,24593.54292319972,9286.103685201779
15,,45093.68136198931,29802.26316828835,22139.538402015227,36446.192339211884,75644.66569815572,28068.643422962137
16,Mercer,7923.99436479357,5359.842426728287,4143.256797223959,6895.334329328896,15630.995886617202,5441.846773306819
16,Suffolk,20084.123186934172,10960.285537399719,7159.468917157417,12235.105816885802,26043.11951340383,9282.766609228654
16,,43805.31123247637,28376.385130644136,21305.03248735723,35610.38494995921,79911.68238143329,27924.653707823487
17,Mercer,7698.253315097105,5097.714472372858,3981.2935735776173,6719.949233499118,16434.06128776449,5389.994590240049
17,Suffolk,19498.91004613729,10542.065302857423,6925.837556506254,12016.547390124855,27459.39302921961,9248.555186365682
17,,42550.910002249475,27045.10290587936,20494.401308207533,34749.09340254799,84054.86608629406,27684.62640342109
18,Mercer,7478.403031311319,4853.313998885213,3824.348778262737,6541.477947632046,17212.204582342045,5322.265132458542
18,Suffolk,18930.261042640723,10145.299368451215,6698.307687750729,11788.367221847646,28842.016841347497,9187.789209595818
18,,41329.86422312063,25800.577581534726,19708.339568070754,33869.870181762526,88074.4169398527,27363.376429076867
19,Mercer,7264.343754144481,4625.157481120592,3672.5126422554426,6361.211930075359,17965.622408201532,5241.266996677175
19,Suffolk,18377.755040460812,9768.478654320395,6476.990447067049,11552.5676281352,30190.81221918011,9104.290393803925
19,,40141.541172810284,24635.686659751096,18947.290043323737,32979.24661290507,91971.09685271612,26973.988277267414
20,Mercer,7055.971543493992,4411.897516748859,3525.8307110929704,6180.259397831752,18694.605027693247,5149.298682288496
20,Suffolk,17840.97682455905,9410.222821335818,6261.949992682752,11310.913973159017,31505.7460297625,9001.43771958781
20,,38985.2930181731,23543.956281630097,18211.48035239152,32082.85031666096,95746.14113551068,26527.996942947062
21,Mercer,6853.17909507999,4212.309840286667,3384.3106718422187,5999.567047121026,19399.520352212265,5048.3811911583825
21,Suffolk,17319.51755378877,9069.268370299253,6053.210243769318,11064.959697532782,32786.91091805892,8882.216599957084
21,,37860.46050456309,22519.50000063627,17500.95524938355,31185.50989117776,99401.1810138049,26035.551273591955
22,Mercer,6655.856451544054,4025.2817623124483,3247.9282012491662,5819.939025459316,20080.800315193992,4940.28724929042
22,Suffolk,16812.975138913374,8744.457879287731,5850.76081528176,10816.068788809962,34034.50772938504,8749.26245268691
