,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1420,28041,Greene,Mississippi,0.2605493777155902,110.194982365076,0.0,1726829,0.01200382944252154,5.318621392651819e-06,1.0,0.0,0.17593342661462552,33,1293,0.13461963325723544,13579.0,2,2,1,2
1421,28043,Grenada,Mississippi,0.4022801302931596,88.9998003593532,0.0002641077559644335,1726829,0.0055902808345805076,1.3451401698475156e-05,2.0,0.001056431023857734,0.18320274672066206,81,2535,0.16172198256888812,22718.0,2,2,1,2
1422,28045,Hancock,Mississippi,0.09476227630817248,106.738980945409,0.00015101557977398002,1726829,0.045153658352420016,2.3433515215652074e-05,2.0,0.0067453625632377745,0.1980569328735748,84,3712,0.23316805517102515,39731.0,1,0,2,4
1423,28047,Harrison,Mississippi,0.2978545227227156,106.23987932831999,0.00033530980772762757,1726829,0.06600969533986767,8.226910689476574e-05,2.0,0.034281636648856494,0.20842032011134307,302,17459,0.1744748357571683,169566.0,2,2,1,2
1424,28049,Hinds,Mississippi,0.7082286187514606,98.98848738936579,0.0008287362387322613,1726829,0.015070700279193331,7.653841892559149e-05,7.875,0.007559948671064337,0.18437829261593086,406,19830,0.13347573149882952,243917.0,2,2,1,2
1425,28051,Holmes,Mississippi,0.7299230731540007,47.7008052172756,0.0,1726829,0.0014699397324709686,7.213058539406541e-06,0.0,0.0005879758929883875,0.26689205742564553,71,1863,0.12621882502817386,20409.0,2,2,1,2
1429,28059,Jackson,Mississippi,0.2383732988720305,114.587076595462,0.0003190861373027649,1726829,0.07372485202380383,4.802654392406935e-05,27.0,0.027234001818790984,0.1704797460074347,243,13078,0.17699708036184367,125358.0,0,0,3,5
1430,28061,Jasper,Mississippi,0.4957060004461298,79.5723253698898,0.0,1726829,0.004182467097925496,7.3301722295914015e-06,0.0,0.0,0.18586883783180905,48,2196,0.18101717599821548,17932.0,2,2,1,2
1431,28063,Jefferson,Mississippi,0.6359380225169993,55.4978815909141,0.0,1726829,0.05818749303310668,4.736291350614601e-06,0.0,0.004793222606175454,0.21290825994872367,28,647,0.12373202541522685,8971.0,2,2,1,2
1432,28065,Jefferson Davis,Mississippi,0.5547130656876048,71.2406557086134,0.0,1726829,0.003192593183813553,8.554622107247439e-06,0.0,0.0011174076143347434,0.21358448399712668,32,1050,0.19770133290765424,12529.0,2,2,1,2
1433,28067,Jones,Mississippi,0.31217483410698155,92.66653357290207,0.0002024985202031216,1726829,0.04786753481416866,2.5608416790203814e-05,5.0,0.003504782080438643,0.24636281504096705,160,8285,0.17481853017227952,64198.0,2,2,1,2
1434,28069,Kemper,Mississippi,0.6245799816719275,68.9935893170072,0.0,1726829,0.005905712249261786,3.4854577378842416e-06,0.0,0.0007127583749109052,0.24742897871907135,25,950,0.19600855310049892,9821.0,2,2,1,2
1435,28071,Lafayette,Mississippi,0.3053992432327544,111.514828863601,0.0003395750460851848,1726829,0.03412729213156108,1.5929369685021635e-05,5.0,0.027068982245076163,0.20961482487629765,117,6011,0.15778111962743765,41228.0,2,2,1,2
1436,28073,Lamar,Mississippi,0.27000759301442673,133.821343803376,0.0,1726829,0.03648985790215858,2.594511200070928e-05,2.0,0.017333767219872002,0.21822323462414575,84,6094,0.17663520989261308,46095.0,2,2,1,2
1437,28075,Lauderdale,Mississippi,0.4364096644717857,94.35016969454979,0.0006839483871934875,1726829,0.02260027807654975,2.9246979966035143e-05,2.7142857142857144,0.0066239932841889865,0.1994805739919725,237,7156,0.16607203756656785,76238.0,2,2,1,2
1438,28077,Lawrence,Mississippi,0.3121391674263142,92.9748674607928,0.0,1726829,0.00881191127316925,8.446952821858817e-06,0.0,0.002127013065937405,0.18732907930720147,23,1260,0.1681099969614099,13164.0,2,2,1,2
